FID,SITE_ID,Base_index
0,SQ10067,80
1,SQ10231,100
7,SQ20127,100
8,SQ20203,60
9,SQ20225,60
10,SQ20228,80
11,SQ20243,80
12,SQ20250,80
13,SQ20349,80
14,SQ20454,80
15,SQ20461,60
16,SQ20599,80
17,SQ20604,80
19,SQ20607,80
20,SQ20627,80
21,SQ20750,80
22,SQ20752,100
24,SQ20794,80
26,SQ20804,80
27,SQ20805,60
28,SQ20928,80
29,SQ21073,100
30,SQ21312,100
31,SQ21315,60
33,SQ23004,80
34,SQ23008,80
35,SQ26254,80
36,SQ26355,100
37,SQ26741,80
38,SQ26747,100
39,SQ26749,100
40,SQ26903,60
41,SQ30065,60
44,SQ30184,80
50,SQ30542,80
51,SQ30543,60
52,SQ30545,80
54,SQ30640,80
55,SQ30647,80
56,SQ30649,80
57,SQ30663,80
58,SQ30665,80
59,SQ30684,80
62,SQ30918,80
63,SQ30925,80
64,SQ32514,100
65,SQ32516,80
66,SQ32546,100
67,SQ32551,100
68,SQ32571,100
69,SQ32573,80
71,SQ32577,80
72,SQ32578,80
73,SQ32595,80
74,SQ32596,60
75,SQ32598,100
76,SQ32600,80
77,SQ32602,80
78,SQ32604,80
79,SQ32606,100
80,SQ32610,100
81,SQ32619,80
82,SQ32623,80
83,SQ32629,100
84,SQ32632,80
85,SQ32637,80
86,SQ32697,80
87,SQ32699,100
88,SQ32790,100
91,SQ32868,100
92,SQ33154,60
93,SQ33155,60
94,SQ33156,80
95,SQ33157,80
96,SQ33161,100
97,SQ33166,80
101,SQ33779,80
102,SQ33950,60
103,SQ34082,80
104,SQ34245,80
106,SQ34710,60
107,SQ34895,100
109,SQ34926,60
110,SQ35233,100
111,SQ35569,80
112,SQ35570,80
113,SQ35571,80
115,SQ35819,100
121,SQ36018,80
123,SQ36084,60
124,SQ36094,80